0,MALE,Denim dress,"lp2.hm.com/hmgoepprod?set=source[/d2/af/d2af2243cabadbcdc015db2a6c6f739933010dda.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]","Rs.2,299",new,293
1,MALE,Lyocell-blend slip dress,"lp2.hm.com/hmgoepprod?set=source[/c6/6d/c66d8757dbf31a932099a9d89aa7cbfff5a60892.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]","Rs.1,499",new,801
2,MALE,H&M+ Long linen-blend dress,"lp2.hm.com/hmgoepprod?set=source[/e7/1b/e71b3198c9710e49483fdbb1e4901e1b06bfc3ae.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]","Rs.2,999",new,363
3,MALE,Long lyocell-blend dress,"lp2.hm.com/hmgoepprod?set=source[/8e/64/8e64b62a0a033ca1629d89874327d6dedf4c1718.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]","Rs.2,999",new,754
4,MALE,Lyocell-blend dress,"lp2.hm.com/hmgoepprod?set=source[/cc/ca/ccca854a730274d24ba849a4d3ecc0782165005a.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]","Rs.2,299",new,1071
5,MALE,Rib-knit dress,"lp2.hm.com/hmgoepprod?set=source[/39/64/3964cf9eccdfe89c8ecbb49586756b2617ac2c26.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]","Rs.2,999",new,1089
6,MALE,Knitted dress,"lp2.hm.com/hmgoepprod?set=source[/83/41/83412d6216fa00a7fc17867fd52085e33a80294b.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]","Rs.2,299",old,1094
7,MALE,Ribbed dress,"lp2.hm.com/hmgoepprod?set=source[/2d/49/2d49ed9b378f77b2138fb4cedc0316be430de0a2.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]","Rs.1,499",new,1199
8,MALE,Puff-sleeved dress,"lp2.hm.com/hmgoepprod?set=source[/82/af/82afbf3d4292adc2a7db0e1e19ebce9769461eef.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]","Rs.1,499",new,996
9,MALE,Button-front dress,"lp2.hm.com/hmgoepprod?set=source[/44/b0/44b068781aafc99832cf8e9fbb5f7ac56083e2f5.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]","Rs.1,499",old,1331
